productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extResistance
83445,Abra,Abra,https://tcgplayer-cdn.tcgplayer.com/product/83445_200w.jpg,3,1373,https://cpt.tcgcsv.com/WnH,2025-12-29T15:03:48.967,1,49/82,Common,Psychic,40,Basic,"[P] Vanish
<br>Shuffle Abra into your deck. <em>(Discard all cards attached to Abra.)</em>","[P] Psyshock (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",P,1,0.72,1.53,19.99,2.56,1.54,1st Edition,,
83445,Abra,Abra,https://tcgplayer-cdn.tcgplayer.com/product/83445_200w.jpg,3,1373,https://cpt.tcgcsv.com/WnH,2025-12-29T15:03:48.967,1,49/82,Common,Psychic,40,Basic,"[P] Vanish
<br>Shuffle Abra into your deck. <em>(Discard all cards attached to Abra.)</em>","[P] Psyshock (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",P,1,0.19,0.5,45.0,0.66,0.39,Unlimited,,
84159,Challenge!,Challenge,https://tcgplayer-cdn.tcgplayer.com/product/84159_200w.jpg,3,1373,https://cpt.tcgcsv.com/cHH,2025-12-29T15:06:13.423,1,74/82,Uncommon,Trainer,,,,,,,1.18,2.49,29.99,2.91,29.99,1st Edition,"Ask your opponent if he or she accepts your challenge. If your opponent declines (or if both Benches are full), draw 2 cards. If your opponent accepts, each of you searches your decks for any number of Basic Pokémon cards and puts them face down onto your Benches. <em>(A player can't do this if his or her Bench is full.)</em> When you both have finished, shuffle your decks and turn those cards face up.",
84159,Challenge!,Challenge,https://tcgplayer-cdn.tcgplayer.com/product/84159_200w.jpg,3,1373,https://cpt.tcgcsv.com/cHH,2025-12-29T15:06:13.423,1,74/82,Uncommon,Trainer,,,,,,,0.44,1.02,22859.93,1.42,,Unlimited,"Ask your opponent if he or she accepts your challenge. If your opponent declines (or if both Benches are full), draw 2 cards. If your opponent accepts, each of you searches your decks for any number of Basic Pokémon cards and puts them face down onto your Benches. <em>(A player can't do this if his or her Bench is full.)</em> When you both have finished, shuffle your decks and turn those cards face up.",
84204,Charmander,Charmander,https://tcgplayer-cdn.tcgplayer.com/product/84204_200w.jpg,3,1373,https://cpt.tcgcsv.com/6JH,2025-10-10T23:50:37.547,1,50/82,Common,Fire,40,Basic,[R] Fire Tail (20),,W,1,3.4,8.35,29.99,8.33,,1st Edition,"<strong>Pokémon Power: Gather Fire</strong> Once during your turn <em>(before your attack)</em>, you may take 1 Fire Energy card attached to 1 of your other Pokémon and attach it to Charmander. This power can't be used if Charmander is Asleep, Confused, or Paralyzed.",
84204,Charmander,Charmander,https://tcgplayer-cdn.tcgplayer.com/product/84204_200w.jpg,3,1373,https://cpt.tcgcsv.com/6JH,2025-10-10T23:50:37.547,1,50/82,Common,Fire,40,Basic,[R] Fire Tail (20),,W,1,0.36,1.6,24.99,2.47,1.26,Unlimited,"<strong>Pokémon Power: Gather Fire</strong> Once during your turn <em>(before your attack)</em>, you may take 1 Fire Energy card attached to 1 of your other Pokémon and attach it to Charmander. This power can't be used if Charmander is Asleep, Confused, or Paralyzed.",
84559,Dark Alakazam (1),Dark Alakazam 1,https://tcgplayer-cdn.tcgplayer.com/product/84559_200w.jpg,3,1373,https://cpt.tcgcsv.com/cRH,2025-12-10T22:26:02.823,1,01/82,Holo Rare,Psychic,60,Stage 2,"[1PP] Teleport Blast (30)
<br>You may switch Dark Alakazam with 1 of your Benched Pokémon. <em>(Do the damage before switching the Pokémon.)</em>","[PPP] Mind Shock (40)
<br>Don't apply Weakness and Resistance for this attack. <em>(Any other effects that would happen after applying Weakness and Resistance still happen.)</em>",P,3,109.94,132.17,149.0,134.35,,1st Edition Holofoil,,
84559,Dark Alakazam (1),Dark Alakazam 1,https://tcgplayer-cdn.tcgplayer.com/product/84559_200w.jpg,3,1373,https://cpt.tcgcsv.com/cRH,2025-12-10T22:26:02.823,1,01/82,Holo Rare,Psychic,60,Stage 2,"[1PP] Teleport Blast (30)
<br>You may switch Dark Alakazam with 1 of your Benched Pokémon. <em>(Do the damage before switching the Pokémon.)</em>","[PPP] Mind Shock (40)
<br>Don't apply Weakness and Resistance for this attack. <em>(Any other effects that would happen after applying Weakness and Resistance still happen.)</em>",P,3,37.31,54.18,9999.0,55.57,79.97,Unlimited Holofoil,,
84560,Dark Alakazam (18),Dark Alakazam 18,https://tcgplayer-cdn.tcgplayer.com/product/84560_200w.jpg,3,1373,https://cpt.tcgcsv.com/dRH,2025-11-20T04:06:04.423,1,18/82,Rare,Psychic,60,Stage 2,"[1PP] Teleport Blast (30)
<br>You may switch Dark Alakazam with 1 of your Benched Pokémon. <em>(Do the damage before switching the Pokémon.)</em>","[PPP] Mind Shock (40)
<br>Don't apply Weakness and Resistance for this attack. <em>(Any other effects that would happen after applying Weakness and Resistance still happen.)</em>",P,3,14.29,20.66,31.87,26.78,,1st Edition,,
84560,Dark Alakazam (18),Dark Alakazam 18,https://tcgplayer-cdn.tcgplayer.com/product/84560_200w.jpg,3,1373,https://cpt.tcgcsv.com/dRH,2025-11-20T04:06:04.423,1,18/82,Rare,Psychic,60,Stage 2,"[1PP] Teleport Blast (30)
<br>You may switch Dark Alakazam with 1 of your Benched Pokémon. <em>(Do the damage before switching the Pokémon.)</em>","[PPP] Mind Shock (40)
<br>Don't apply Weakness and Resistance for this attack. <em>(Any other effects that would happen after applying Weakness and Resistance still happen.)</em>",P,3,7.99,11.0,1149.0,12.56,,Unlimited,,
